mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
722,Baby☆Love,OVA,6.13,6897,8460,Comedy|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8157.0,10775.0
724,Enzai,OVA,5.15,23359,5209,Hentai|Horror,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5105.0,14744.0
6031,Osu!! Karate-bu,OVA,6.79,2647,11764,Action|Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11106.0,6197.0
57789,"Ateuma Chara no Kuse shite, Super Darling Ouji ni Chouai sareteimasu.",ONA,6.15,7198,8314,Fantasy|Hentai|Romance|Erotica,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8008.0,10650.0
57796,Touhai: Ura Rate Mahjong Touhairoku,TV,6.6,22470,5287,Drama|Psychological|Sports,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5182.0,7557.0
57859,Egao no Taenai Shokuba desu.,TV,7.45,27629,4858,Comedy|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4775.0,2367.0
57860,69: Itsuwari no Bishou,OVA,6.17,3152,11122,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,10538.0,10534.0
57861,Konomi ja Nai kedo: Mukatsuku Ane to Aishou Batsugun Ecchi,OVA,7.21,5287,9403,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,9009.0,3693.0
57865,Taigu Xing Shen Jue,ONA,6.78,1146,14765,Action|Adventure|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13310.0,6253.0
57876,Maougun Saikyou no Majutsushi wa Ningen datta,TV,6.4,154882,1737,Action|Adventure|Drama|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,1738.0,9029.0
671,Lemon Angel Project,TV,6.55,9480,7451,Drama|Music,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7208.0,7913.0
