mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
2309,"Azusa, Otetsudai Shimasu!",Special,6.23,4149,10190,Comedy|Sci-Fi|Slice of Life|Sports,7,7,8.0,8.0,1.566682446961335e-05,6.956608153542523e-08,1.021680463739269e-07,12420,9728.0,10152.0
63159,Anal Mania Otaku to Ananii Daisuki na Ojou-sama,OVA,6.03,1592,13514,Hentai,1,1,1.0,1.0,1.566574656163017e-05,2.1259319371872815e-18,2.3952025999999343e-18,12421,12440.0,11397.0
12795,Yajikita Gakuen Douchuuki,OVA,5.95,2027,12679,Action|Adventure,3,3,4.0,4.0,1.5663383671177835e-05,2.8660769666884146e-12,2.0868823102199425e-11,12422,11821.0,11797.0
9121,Heroman Specials,Special,6.32,3405,10833,Action|Sci-Fi,1,1,6.0,9.0,1.5661813154953407e-05,9.639775726148434e-11,2.1234134218544893e-10,12423,10288.0,9559.0
6878,Usavich Specials,Special,6.29,2234,12353,Adventure|Comedy,1,2,2.0,3.0,1.5661009971448764e-05,3.5168559518619538e-12,7.094910367125336e-13,12424,11577.0,9789.0
52657,Ousama Ranking: Yuuki no Takarabako,TV,7.41,164504,1665,Action|Adventure|Drama|Fantasy,3,5,16.0,36.0,1.566020789096406e-05,1.223814961326951e-05,8.526735384429838e-06,12425,1662.0,2568.0
2838,Toushin Toshi II,OVA,5.68,1924,12847,Adventure|Fantasy|Hentai|Romance,1,1,2.0,2.0,1.56596266643439e-05,9.219719577578755e-12,1.085111966998182e-11,12426,11968.0,13176.0
45658,Dokidoki! Mini Mini! Kakushi Dungeon Gekijou,ONA,5.87,5698,9134,Comedy|Fantasy,2,2,8.0,8.0,1.565937777220606e-05,9.836674010709101e-11,1.4408320896274148e-10,12427,8780.0,12229.0
31056,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,Special,6.85,40457,4080,Comedy|Ecchi|Mahou Shoujo,2,2,7.0,10.0,1.5658852225897777e-05,2.957153219035583e-11,4.641082785570056e-11,12428,4022.0,5811.0
278,Viewtiful Joe,TV,6.78,13184,6506,Action|Comedy|Sci-Fi,5,5,7.0,7.0,1.565593816152863e-05,2.1800793273473833e-08,2.1467142142408002e-08,12429,6318.0,6253.0
37651,Fate/Extra: Last Encore - Illustrias Tendousetsu,TV,6.53,84096,2697,Action|Fantasy,3,3,12.0,12.0,1.5654900906969973e-05,1.048440531085538e-08,9.323097304225725e-09,12430,2683.0,8075.0
13217,Hishoka Drop The Animation,OVA,6.38,5797,9077,Hentai,1,1,1.0,1.0,1.5654813385741606e-05,1.0015092393488002e-13,1.0767730003190475e-13,12431,8727.0,9164.0
