character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
Oka,,128206,0,0,0,4,2562|2762|22137|34961,"Suga, Miki|Futamata, Issei|Asano, Masumi|Hanae, Natsuki"
Okan,309402,,0,0,0,4,53426|56743|57562|60551,Kujira
"Oniyama, Dogusaburou",273456,,0,0,0,4,24909|28869|31670|33490,"Tatsuta, Naoki"
Ookubo,261309,250510,0,0,0,4,198|627|2038|49165,"Cho|Kusumi, Naomi|Hoshino, Mitsuaki|Suzumura, Kenichi"
"Ookura, Takami",227377,201881,0,0,0,4,42516|48862|54144|54145,"Oosaka, Ryouta"
"Ootomo, Jouji",245750,,0,0,0,4,1391|1392|1393|9759,"Tomita, Kosuke"
Orca,10796,10796,0,0,0,4,48|454|1487|25027,"Masutani, Yasunori|Ootsuka, Houchuu"
Otousan,,23281,0,0,0,4,6554|8195|36936|49184,"Yamadera, Kouichi|Yanaka, Hiroshi|Hoshino, Gen|Kitazawa, Riki"
"Owner, Shop",,12319,0,0,0,4,3085|39609|54301|59424,"Miyake, Kaya|Akiho, Saeko|Yamamoto, Shouta|Iijima, Hajime"
Oyaji-dono,309401,,0,0,0,4,53426|56743|57562|60551,"Chiba, Shigeru"
"Oyama, Ryuutarou",177244,,0,0,0,4,27815|34077|40167|41283,"Okiayu, Ryoutarou"
"Ozono, Mariko",25567,25567,0,0,0,4,1710|2108|2111|2713,"Hidaka, Noriko"
Pachirisu,,259178,0,0,0,4,2847|7550|8709|11069,"Nishimura, Chinami"
"Pan, Guanglin",,55581,0,0,0,4,1541|3864|36655|37388,"Terasoma, Masaki|Tani, Atsuki"
"Pan, Yuling",,27011,0,0,0,4,1541|3864|36655|37388,"Hisakawa, Aya|Touma, Yumi"
"Peacock, DJ",273460,118695,0,0,0,4,24909|28869|31670|33490,"Yabe, Masahito"
Pipi,42610,42610,0,0,0,4,2959|7626|8563|22035,"Ogata, Kenichi|Hirokawa, Akemi|Iguchi, Yuuko|Tominaga, Miina"
Policeman,,265413,0,0,0,4,2099|9611|21681|31804,"Miki, Shinichiro|Tajiri, Hiroaki|Gotou, Kousuke|Takeuchi, Kousuke"
"Priest, Chief",,108631,0,0,0,4,19703|31236|32836|34792,"Yao, Kazuki|Date, Mikio|Sasa, Kenta|Sasaki, Mutsumi"
Prometheus,191382,139511,0,0,0,4,791|40109|41714|41814,"Tanaka, Hideyuki|Sakurai, Takahiro"
Rabat,42901,42901,0,0,0,4,180|181|1111|1112,"Ishizuka, Unshou"
"Relryle, Alielle",,8491,0,0,0,4,115|116|117|118,"Kozakura, Etsuko"
Researcher,199146,255362,0,0,0,4,79|1346|31927|32608,"Koyatsu, Hisanori|Greaves, Nigel|Hanazawa, Kana|Souma, Sousuke"
Ridget,,76252,0,0,0,4,16524|18413|19211|23319,"Ohara, Sayaka"
"Robber, Bank",15959,15959,0,0,0,4,253|254|2041|3110,"Fujiwara, Keiji|Cho|Koyasu, Takehito"
Roushi,257050,238205,0,0,0,4,1181|1357|2972|3910,"Katou, Seizou|Hashi, Takaya|Mikimoto, Yuji|Sawaki, Ikuya"
"Rowe, Jean",,78513,0,0,0,4,15197|15199|15201|30711,"Ise, Mariya"
Rurio,124064,95443,0,0,0,4,20431|24471|37029|39538,"Matsuyama, Takashi"
Ryoko,,267115,0,0,0,4,116|523|40610|60564,"Nakagawa, Akiko|Mizutani, Yuuko|Senbongi, Sayaka|Mizushima, Yuu"
"Ryuuzaki, Chairman",,155711,0,0,0,4,311|312|313|314,"Katou, Masayuki|Fujimoto, Yuzuru|Naya, Gorou"
"Saijou, Hideji",,152996,0,0,0,4,951|3203|9348|31202,Chafuurin
"Saitou, Hiroki",,104275,0,0,0,4,19775|24893|28495|35759,"Koyama, Rikiya"
Sakaguchi,41791,41791,0,0,0,4,779|1581|1804|4062,"Fujimoto, Yuzuru|Ono, Daisuke|Hiyama, Nobuyuki|Nakahara, Shigeru"
"Sakata, Shinichi",152729,,0,0,0,4,32571|34979|37368|39457,"Matsuda, Satsumi"
"Sakurada, Father",,51375,0,0,0,4,10232|15731|21737|29830,"Furukawa, Toshio"
