voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Oki, Masaya",107895,12895,1,0,1,1,1,0,2560,Terra e...
"Ikezuki, Honoka",108535,13535,1,0,1,1,1,0,8115,Uchuu Show e Youkoso
"Miyamoto, Taisei",111291,16291,0,1,1,1,1,0,1608,Salaryman Kintarou
"Yonezawa, Momo",111549,16549,1,0,1,1,1,0,1855,JaJa Uma! Quartet
"Sonoda, Yasutaka",114912,19912,1,0,1,1,1,0,12963,Jewelpet Kira☆Deco!
"Shiraishi, Yukinaga",115933,20933,0,1,1,1,1,0,1069,Chou Denji Machine Voltes V
"Sano, Ryouko",116255,21255,0,1,1,1,1,0,1032,Kumo no You ni Kaze no You ni
"Aikawa, Ryouko",117353,22353,0,1,1,1,1,0,4808,Hurricane Polymar
"Morinaga, Yuuki",,24303,1,0,1,1,1,0,5799,Kaede New Town
"Natsuyagi, Isao",,24787,1,0,1,1,1,0,2077,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin
"Kishitani, Goro",,26083,1,0,1,1,1,0,3418,Jungle no Ouja Tar-chan
"Okata, Hisako",151634,26751,1,1,1,1,1,0,1044,Taiyou no Ouji: Horus no Daibouken
"Mizuno, Maki",,27969,1,0,1,1,1,0,21293,Sore Ike! Anpanman: Shabondama no Purun
"Iinuma, Kiho",,28773,1,0,1,1,1,0,1936,Misute♡naide Daisy
"Yoshino, Kimika",,29579,1,0,1,1,1,0,10060,Sore Ike! Anpanman: Soratobu Ehon to Glass no Kutsu
"Takayama, Sakae",237056,29719,1,0,1,1,1,0,5052,Eightman
"Koike, Yuki",,29963,1,0,1,1,1,0,10859,Sorette♡Dakara ne!
"Sakai, Miki",,31197,1,0,1,1,1,0,462,One Piece Movie 04: Dead End no Bouken
"Honoka, Rin",357211,31755,1,0,1,1,1,0,15045,Litchi DE Hikari Club
"Graffiti, Ore no",,31791,1,0,1,1,1,0,15045,Litchi DE Hikari Club
"Nakagawa, Katsuhiko",265314,31865,1,0,1,1,1,0,8853,Chouriki Robo Galatt
"Izawa, Kazuma",,32009,1,0,1,1,1,0,6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel
AKKO,123234,37485,1,0,1,1,1,0,10575,Naisho no Wakana-san
Max,202000,37568,1,0,1,1,1,0,29715,Nar Doma
"Takemoto, Kaori",165349,38017,1,0,1,1,1,0,1949,Mahou no Chocolate
